grievance_id,complaint_text,top_department,state,district,sex,org_code
DOSEL/E/2023/0000367,"School Education and Literacy >> Admission Related >> NVS

Name of School : Jawahar Navodaya Vidyalaya Chennithala
-----------------------
Respected Sir/Madam,
I am a resident of Pathanamthitta district of Kerala state and a 5th class student of Chengannur St Anne&#39;s Girls Higher Secondary School. I express my happiness and gratitude for all the activities being done under the leadership of the Hon&#39;ble Central Government for the welfare of children. Applications are now invited for Class 6 admissions to Navodaya Vidyalayas run by the Central Government. It is brought to the notice of authorities that some new conditions imposed this year are preventing many children like me from applying for Navodaya Exam. Till 2021-22, students could apply to the Navodaya Vidyalayas of the revenue district in which they are studying. But from this year (2022-23), applications can be submitted only if the school as well as residence is in the same revenue district, otherwise it is not possible to submit the application online. Many of the children in border districts do not necessarily study and resides in the same district. I myself live in Pathanamthitta district and my school is located in Chengannur in Alappuzha district. For admission to Navodaya Vidyalayas which select talented students and provide them with good education, I am requesting that immediate action be taken to provide an opportunity for me and similar students to apply for Navodaya Vidyalayas by making 5th class school or residence same revenue district as any one factor.  JNVs are opened in a district specifically with the aim of providing quality education to the students of rural areas of that particular district only. Though test is conducted at national level, selection of students for admission for a JNV is only from the candidates of the district concerned. Passing class V & being bonafide resident from the same district is one of the eligibility conditions. If a candidate from any other district is given admission, the same will be causing huge loss to the bonafide students of the concerned district for whom JNV is functioning.

The policy of NVS is upheld by various Hon’ble Courts also.",School Education,KL,Pathanamthitta,M,DOSEL
DOSKD/E/2023/0000010,"Skill Development and Entrepreneurship >> Matters related to Directorate General of Training (DGT) >> Central Field Institutes (CFIs) related >> Related to Junior Consultants/Junior Vovational Consultants (JVC) recruitments >> Result related

Reference Number : Not Provided
-----------------------
श्री मान जी हमे सिर्फ CTS से संबंधित निम्न जानकारी देने की कृपा कीजिए -
1-कृपया हमे बताने की कृपा करे की सभी NSTI&#39;s को मिलाकर Employability skill पढ़ने वाले विद्यार्थियों की संख्या कितनी हैं?
2-कृपया हमे प्रत्येक NSTI&#39;s में Employability skill विषय पढ़ाने वाले अनुदेशक की जानकारी पद के साथ बताए।
3-श्रीमान जी हमे Employability skill विषय में रिक्त अनुदेशको की संख्या बताए।तथा  यह भी बताने की कृपा करे की किस NSTI&#39;s में कितनी पदे रिक्त है?  महोदय,

कृपया नीचे दी गई जानकारी प्राप्त करें:
1. एनएसटीआई में रोजगार कौशल का अध्ययन करने वाले 2152 प्रशिक्षु हैं
2. कृपया संलग्न पीडीएफ देखें। फ़ाइल
3. एनएसटीआई में रोजगार कौशल के लिए अलग से कोई पद स्वीकृत नहीं है। विषय मौजूदा नियमित संकाय, क्वेस्ट एलायंस सुविधाकर्ता, अतिथि संकाय आदि द्वारा पढ़ाया जा रहा है।

सम्मान",Ministry of Skill Development and Entrepreneurship,UP,Bhadohi (Sant Ravidas Nagar),M,DOSKD
DOSEL/E/2023/0000170,"School Education and Literacy >> Others/Misc
-----------------------
Sir,
We have drwon a proposal for high school education in our Govt. Recognised school namely His Holiness Hazrat Mansoor Shah Wali Urdu High School in 2016 later a letter recied fron NIOS head Qurter in 2019 copy attached
inspection done in 2022, Many reminders throuh mail resultless no one is pikup calls in headquerter mails are addresed to chairman , Acadmic director, Reginal director Pune and many officals in head querter.

It is requested please let us know the status of our proposal and all numbers of officers who are concern in head querter.
Thanking ou  It is intimated that the school is not recommended by the AAC meeting held on 31.01.2023 due to less land area.",School Education,MH,Beed,M,DOSEL
DSEHE/E/2023/0000148,"Higher Education >> Miscelleneous/Others Grievances

Name : Not Provided
Details of course/batch no : B.Tech/2019
Institutes/Agencies : IIT KANPUR
-----------------------
Please raise this issue with Canara Bank.

To,
Government Service Wing, Head Office,
Canara Bank (Nodal bank for CSISS)

Sub:- Transfer of Subsidy Under Central Sector Interest Subsidy scheme through DBT

Under Central Sector Interest Subsidy scheme, I have some claims successfully filed through Canara Bank (nodal bank) but I have not receive the subsidy.
The attempt to transfer the amount had failed due to closure of loan account. Upon inquiry I came to know that the subsidy amount, in such cases, would be transferred to the saving account through DBT.
I am deeply aggrieved by the apathy of the Nodal bank (Canara Bank) as it has been 2-3 years since the subsidy was supposed to be transferred. It is disgusting that it takes
such long time for a reputed bank like Canara Bank to get account details of the beneficiaries from the financing banks. I&#39;m sure the bank would be dealing with such tasks
on routine basis. I would request:
1. That due consideration be given to settle this matter at earliest.
2. That I be informed about the actions taken in this regards as part of reply to this grievance.
3. That estimated time to settle this case be disclosed.
4. That I be informed whether the member banks (financing banks) have been intimated to update Saving Account details on Web portal.

Best,
Prince Kr.
Note :- Claim details and the RTI reply document relevant to the case is being attached herewith. As per the reply received from Canara Bank, they are already in process of crediting the failed subsidy due to loan account closure. Canara Bank had informed the member Banks through the IBA and the last date to update the data was 09.01.2023. You may also contact Canara Bank on following email for further information : XoXpX@XaXaXaXaXkXcXm .",Higher Education,BH,Jehanabad ,M,DSEHE
DSEHE/E/2023/0000691,"Higher Education >> Miscelleneous/Others Grievances

Name : Sameena Nasrin
Details of course/batch no : M. Sc, PhD in Applied Electronics  & UGC - NET
Institutes/Agencies : All India Council of Technical Education
-----------------------
Sir/Madam,

 I have qualified M.Sc PhD  from Gulbarga University &amp; UGC NET (Electronic Science) i wish to know is  i am eligible to teach for Diploma or Degree Engineering College / Universiites offering Enginering courses at UG level as per AICTE norms /rules. the relavant rule of AICTE is attached for ready reference

i wish to apply for the post of Assistant Professor in Electronics and Communication Engineering.  In Engineering colleges and Universities offering Engineering course as per All India Council for Technical Education norms / rules. As (AICTE) All India Council for Technical Education in the only Governing Council  of Govertment of India who sets standards / bench mark of education in engineering

The details of my Qualification is as follows :

1. I qualifed M. Sc with distinction with Gold Medal in the year 2006 (2nd Rank to the University)
2. I qualified PhD in the year 2011
3. I qualified UGC NET in year 2013 NET in Electronic Science
 

Therefore, it is requested to kindly let me know whether i am eligible to apply for the post of Assistan Professor in electronics and communication engineering. it will be very helpful for my future.  As per AICTE regulation issued in 2019 for the pay scale, qualification & service conditions of faculty, a candidate having the following qualification and experience is eligible to consider the post of Assistant Professor in engineering institutions.


Minimum qualifications for direct recruitment as an Assistant Professor in Engineering Technology:


B.E./B.Tech./B.S. and M.E./M.Tech./M.S. or Integrated M.Tech. in relevant branch with first class or equivalent in any one of the degrees.",Higher Education,KN,Kalaburagi ( Gulbarga),F,DSEHE
DSEHE/E/2023/0000805,"Higher Education >> Admission Related >> Confirmation letter/mail

Entrance exam result certificate : School of Management Studies Executive MBA in Forensic Accounting and Fraud Investigation 2022-23
Entrance Exam Roll No : 16660
Details of the course(s) : EXECUTIVE MBA(WITH XPXCXAXIXAXIXN IN FORENSIC ACCOUNTING AND FORENSIC XNXEXTXGXTXOX)
Transaction ID : 27450
Institutes/Agencies : Deemed/Private Institute
-----------------------
Institute Name- National Forensic Sciences University (Ministry of Home Affairs). I received admission letter like many others. University not commencing course even after four months of Admission letter. Being in government servant , it was daunting task to clear entrance exam while being in service. And then all of a sudden university is not commencing courses.  As per NFSUs admission policy, University have not commenced the program as University have received less number of admissions (less than 10) for the program. The same has been communicated to all the students by email dated September 08, 2022. Copy of the email (which is self-explanatory) sent to the present applicant is set on 8/9/2022.",Higher Education,MH,Raigad,M,DSEHE
DSEHE/E/2023/0000419,"Higher Education >> Admission Related >> Admission fee

Entrance exam result certificate : JE MAIN
Entrance Exam Roll No : Session 1- X-X-X-X-X and Session2 - X-X-X-X-X
Details of the course(s) : BTech
Transaction ID : X2X3X0X6X0X4
Institutes/Agencies : State University
-----------------------
Sir,

My Name is Abhishek Kumar Mahato and Roll No- 22BTCSE131 (Mobile No - X3X1X1X2X3 and alternative - X8X6X7X9X8). I passed my JE Main entrance exam on 2022 and got scholarship to get student credit card (loan from Bihar DRCC office) for my higher studies. I applied for BTech admission on SAM Higgingbottom University of Agriculture Technology and Science. Bihar DRCC office asked  bonafide letter from college to approve the loan and college sent the letter. When i went to college for admission , they asked me to submit 25 thousand for admission and rest amount will be adjusted with loan amount. Suddenly last week, i got to know that Bihar DRCC office is asking for NAAC Accreditation certificate for loan disbursement and college is saying they don&#39;t have NAAC Accreditation. 
Now, college is saying either pay on cash or withdraw your admission. I belongs to very poor family and 2 month back, my father got expired and i don&#39;t have that much money to afford my course.
Please support me. I am attaching MY JE MAIN Result and Admission details of university.",Higher Education,DH,East Delhi   ,M,DSEHE
DOSEL/E/2023/0000471,"School Education and Literacy >> Others/Misc
-----------------------
માનનીય સાહેબ શ્રી ગુજરાત પ્રાથમિક શિક્ષક ના નવા જિલ્લાફેર બદલીના નિયમોમાં એવો ઉલ્લેખ કરવામાં આવેલો છે કે અગાઉની જુની યાદી ના પતે ત્યાં સુધી નવી કોઈ ની જિલ્લાફેર બદલી ની અરજી લેવી નઈ અને આ ઉપરાંત 10 વર્ષીય બોન્ડ આધારિત ભરતી કરેલા શિક્ષકોનો બોન્ડ નો સમય ગાળો ઘટાડી 5 વર્ષનો કરવામાં આવ્યો છે પરંતુ આવા શિક્ષકોને જિલ્લાફેર બદલી ની અરજી કરવા માટે કોઈ મોકો આપવામાં આવ્યો નથી અને નવા નિયમ ની વિસંઘટતા ને લીધે આવા શિક્ષકો જિલ્લાફેર બદલીની અરજી થી વંચિત રહેલા છે વધુમાં દંપતી કેસ લાગુ પડતો હોય એવા કિસ્સામાં પણ વિભાગ અરજી સ્વીકારતું નથી તો આ અંગે યોગ્ય કાર્યવાહી કરાવવા વિનંતી The Grievance has been forwarded to the State Government of Gujarat vide letter No. 6-1/2023-IS-15 dated 10th February, 2023, for necessary action.",School Education,GJ,Ahmadabad,M,DOSEL
DOSEL/E/2023/0000451,"School Education and Literacy >> Degree/Certificate Related >> Results Delayed >> Others
-----------------------
Subject:- Complaint against Abdul Kalam Tech University, Lucknow for non updation of marks.

Sir / Madam

      I have done B. Pharma from AKTU University session 2018-22. During the last semester i.e 8th (2022), I got back in two subjects, however, I was sure I would pass all the subjects. Since I was sure, I applied for rechecking, and after rechecking my marks in both the subjects increased and my back was revoked. But even after the passage of nearly 6 months, my final result is not updated so far.  I have requested many times telephonically and through e-mail to resolve my issue. But of no avail. 

     Further, the university charged Rs. 5800/- for rechecking with the condition that Rs. 3000/- would be refunded, if marks after rechecking increased by 20%. Since my marks are increased by more than 20%, I am eligible for refund of these Rs. 3000/-. However, the same is still not refunded me. 

      This avoidable situation caused me such hardship that even after successful completion of the degree I am not able to apply anywhere for a job either in Govt. Sector or even a private job or for higher education. I am suffering a lot.

   In view of the above, I humbly request to direct the authorities concerned to update my result and refund the security money (Rs. 3000/-) as soon as possible.


Name:- Ashish Dhaka
Final Year student,8th sem
Roll no.:- X8X4X5X0X4
DOB:- 12-04-2000
Mobile no.:- X0X1X5X8X3
College H.R. Institute of Pharmacy(Ghaziabad), AKTU University

Passed in 2022
Attachment:- PDF of the result for reference.  Copy of reply is attached herewith",School Education,UP,Ghaziabad,M,DOSEL
DOSEL/E/2023/0000214,"School Education and Literacy >> Degree/Certificate Related >> Transfer Certificate Related >> CBSE/CBSE Affiliated

Name of School : THE MANN SCHOOL, HOLAMBI KHURD, DELHI-110082
-----------------------
HON&#39;BLE SIR,
I am Rina Teronpi, M/O of Ms. Sermalin Kramsapi and Ms. Pratibha Kramsapi. Both of my children were students of THE MANN SCHOOL, HOLAMBI KHURD, DELHI-110082. My children are studying in this school since 2017. Due to the COVID-19 pandemic, my income sources were exhausted and as a result, it became difficult for me to pay my children&#39;s fees, both girls, Ms Sermalin, Class 11 and Ms. Pratibha, Class 9th. I admit that from 2020 onwards I was not regular in making payments but still according to my capacity, I made payments to the school and right now I am completely broken financially and I am not able to afford anything of minute value. Due to non-payment of fees, both of my children were not allowed to continue their education in the school mentioned above and both of my children are sitting at home. The School denied giving them transfer certificates and other mark records, including the elder daughter&#39;s 10th  Board Exam Certificate. The School is in possession of every certificate of my children, including all mark lists of all classes since when I took their admission they told me that I have to give them every certificate in original. Now my children are without any proof to show that they have pursued education till now and no school is willing to admit them since they don&#39;t have any transfer certificate or other mark records. I informed the school regarding my helplessness and requested them to give my children certificates and Transfer Certificates, but the school denied my request and now my children lost an entire year and are uncertain about their future. I KINDLY REQUEST YOU SIR TO ISSUE ORDERS TO THE SCHOOL THAT THEY RELEASE THE TRANSFER CERTIFICATE AND HAND OVER TO ME EVERY CERTIFICATE  OF MY CHILDREN SO THAT THEY CAN PURSUE THEIR FUTURE EDUCATION.
BELOW ARE ATTACHED COPIES OF MY CHILDREN&#39;S SCHOOL ID CARDS.
THANKING YOU
RINA TERONPI  In this connection, it is informed that as per CBSE Affiliation Bye-laws fee should normally be charged under the heads prescribed by the Department of Education of the State or U.T. for schools of different categories. Matter regarding fee regulation comes under the jurisdiction of concerned State Education Department.
Therefore, you are advised to contact to the concerned Directorate of Education, for appropriate action as per norms of State Education department and also with regard to redressal of your grievance.
With the above information, your grievance stands disposed off at the level of CBSE.",School Education,AS,,F,DOSEL
